orgid,prefix,visible,dark,total,handle
100036,132.255.156.0/22,1024,0,1024,BR-JTST1-LACNIC
100036,138.122.8.0/22,1024,0,1024,BR-JTST1-LACNIC
100036,177.36.240.0/20,4096,0,4096,BR-JTST1-LACNIC
100036,191.7.64.0/21,2048,0,2048,BR-JTST1-LACNIC
100102,177.23.56.0/21,2048,0,2048,BR-PILT1-LACNIC
100104,138.99.248.0/22,1024,0,1024,BR-NILT5-LACNIC
100104,143.208.40.0/22,1024,0,1024,BR-NILT5-LACNIC
100104,170.150.164.0/22,1024,0,1024,BR-NILT5-LACNIC
100104,186.227.96.0/20,4096,0,4096,BR-NILT5-LACNIC
100104,186.251.144.0/21,2048,0,2048,BR-NILT5-LACNIC
100104,187.19.96.0/20,4096,0,4096,BR-NILT5-LACNIC
100107,177.53.200.0/23,512,0,512,BR-FAGU-LACNIC
100107,177.84.132.0/22,1024,0,1024,BR-FAGU-LACNIC
100136,45.167.136.0/22,1024,0,1024,BR-EMTL-LACNIC
100202,177.107.80.0/20,4096,0,4096,BR-DSTL-LACNIC
100205,177.72.208.0/21,2048,0,2048,BR-RVLT-LACNIC
100207,177.47.176.0/20,4096,0,4096,BR-CCIL1-LACNIC
100262,177.66.80.0/21,2048,0,2048,BR-AVSC-LACNIC
100268,131.108.24.0/22,1024,0,1024,BR-CITL2-LACNIC
100268,170.245.144.0/22,1024,0,1024,BR-CITL2-LACNIC
100268,177.73.228.0/22,1024,0,1024,BR-CITL2-LACNIC
100309,177.38.48.0/21,2048,0,2048,BR-BDLT-LACNIC
100333,138.121.36.0/22,1024,0,1024,BR-TPSE-LACNIC
100352,167.250.92.0/22,1024,0,1024,BR-RWSM-LACNIC
100352,177.124.148.0/22,1024,0,1024,BR-RWSM-LACNIC
100384,177.84.184.0/21,2048,0,2048,BR-RILT3-LACNIC
100384,187.33.96.0/20,4096,0,4096,BR-RILT3-LACNIC
100463,177.22.64.0/20,4096,0,4096,BR-SSSL-LACNIC
100477,177.21.80.0/20,4096,0,4096,BR-FCLT1-LACNIC
100477,187.33.208.0/20,4096,0,4096,BR-FCLT1-LACNIC
100485,177.137.208.0/20,4096,0,4096,BR-RILT4-LACNIC
100485,179.109.160.0/20,4096,0,4096,BR-RILT4-LACNIC
100556,177.10.88.0/22,1024,0,1024,BR-HILM-LACNIC
100572,177.223.160.0/19,8192,0,8192,BR-MASI1-LACNIC
100572,179.107.160.0/19,8192,0,8192,BR-MASI1-LACNIC
100572,179.97.224.0/19,8192,0,8192,BR-MASI1-LACNIC
100572,189.28.160.0/20,4096,0,4096,BR-MASI1-LACNIC
100601,177.54.48.0/20,4096,0,4096,BR-EILT5-LACNIC
100601,179.127.80.0/20,4096,0,4096,BR-EILT5-LACNIC
100601,189.124.112.0/20,4096,0,4096,BR-EILT5-LACNIC
100601,189.28.176.0/20,4096,0,4096,BR-EILT5-LACNIC
